pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
HD 63433 c,HD 63433,2.692,0.24,15.539,0.04889116,0.21,678.92,35.3582,0.146,20.5438281,G5 V,5553.0,0.934,0.956,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),22.4035,Neptunian
HD 63433 d,HD 63433,1.073,0.09572681,1.25,0.00394,0.16,1040.0,,0.0503,4.209075,G5 V,5688.0,0.912,0.99,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),22.4035,Terrestrial
HD 63454 b,HD 63454,12.31,1.098,79.4575,0.25,0.0,,,0.04,2.81805,K4 V,4812.0,0.77,0.42,Radial Velocity,2005.0,La Silla Observatory,37.6894,Gas Giant
HD 63765 b,HD 63765,14.2,1.27,168.4499,0.53,0.24,,,0.94,358.0,G9 V,5449.0,0.83,0.65,Radial Velocity,2009.0,La Silla Observatory,32.5376,Gas Giant
HD 63935 b,HD 63935,2.91575244,0.26012646,10.5,0.03303669,0.0,825.22,115.6,0.083,9.058807,,5513.0,0.9598,0.9406,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),48.9739,Neptunian
HD 63935 c,HD 63935,3.06451296,0.273398,11.1,0.03492451,0.0,619.59,36.7,0.148,21.4027,,5513.0,0.9598,0.9406,Radial Velocity,2021.0,Multiple Observatories,48.9739,Neptunian
HD 64114 b,HD 64114,4.41,0.393,17.8,0.05600478,0.12,,,0.246,45.791,G7 V,5676.0,0.882858,0.95,Radial Velocity,2019.0,Las Campanas Observatory,31.5262,Neptunian
HD 64121 b,HD 64121,13.2,1.18,813.64072192,2.56,0.11,,,1.51,623.0,G8/K0 III,5078.0,5.44,1.64,Radial Velocity,2022.0,La Silla Observatory,129.966,Gas Giant
HD 6434 b,HD 6434,14.2,1.27,155.7367,0.49,0.17,,,0.14,21.998,G2/3 V,5769.0,1.12,1.1,Radial Velocity,2003.0,La Silla Observatory,42.358,Gas Giant
HD 65216 b,HD 65216,13.6,1.22,411.58985,1.295,0.27,,,1.301,577.6,G5 V,5612.0,0.88,0.874,Radial Velocity,2003.0,La Silla Observatory,35.1205,Gas Giant
HD 65216 c,HD 65216,13.4,1.19,645.1949,2.03,0.17,,,5.75,5370.0,G5 V,5612.0,0.88,0.874,Radial Velocity,2013.0,La Silla Observatory,35.1205,Gas Giant
HD 66141 b,HD 66141,12.8,1.14,1906.9,6.0,0.07,,,1.2,480.5,K2 III,4323.0,21.4,1.1,Radial Velocity,2012.0,Bohyunsan Optical Astronomical Observatory,68.1509,Gas Giant
HD 66428 b,HD 66428,12.4,1.11,3478.94974302,10.946,0.471,,,3.395,2269.81726,G8 IV (+ G),5716.0,1.13,1.01,Radial Velocity,2005.0,W. M. Keck Observatory,53.2817,Gas Giant
HD 66428 c,HD 66428,13.5,1.2,560.64930995,1.764,0.207,,,9.408,10478.84437,G8 IV (+ G),5716.0,1.13,1.01,Radial Velocity,2021.0,Multiple Observatories,53.2817,Gas Giant
